,temperature_00,wind_direction_00,wind_speed_00,temperature_08,wind_direction_08,wind_speed_08,temperature_16,wind_direction_16,wind_speed_16,0
2014-01-01,4.702021725972501,106.74259,4.743292,7.189482116699222,100.41638,6.5938325,8.172300847371405,99.288,5.967206,
2014-01-02,7.695733197530104,98.036705,6.1427155,9.97711760203044,94.03181,4.383676,9.69013532002767,204.25444,1.6965278,
2014-01-03,9.608235041300455,274.0612,10.514304,10.840863545735678,242.87563,16.869741,8.991079457600902,250.2683,12.038399,
2014-01-04,6.95556303660074,257.91022,7.1891704,5.317223358154305,254.2617,9.069233,3.021173604329435,284.06537,4.590843,
2014-01-05,0.8305474599202451,265.3944,4.2630863,2.480239041646324,104.79496,3.0420635,4.227130699157724,263.4169,3.899182,
2014-01-06,4.413848050435391,271.5272,7.603554,7.3166664759318,260.51486,8.069359,6.737341117858878,259.49164,6.8443537,
2014-01-07,3.026356188456224,299.1127,1.3460999,5.659488614400232,86.55309,0.8810791,6.3698254267374645,204.42996,1.9611527,
2014-01-08,7.253352928161616,109.32111,7.1234694,9.37761147816976,104.61693,8.696622,10.105815887451172,108.25442,8.544575,
2014-01-09,8.913458188374824,99.67928,9.756131,9.464742088317877,110.44094,5.8596935,10.2315626780192,278.4587,5.027922,
2014-01-10,7.218718973795564,283.77774,6.6355677,4.522640673319507,270.8956,8.531869,2.7264338811238686,279.64746,7.411286,
2014-01-11,-0.4046232223510742,270.61862,3.1073833,0.1680547078450505,222.73439,0.76864725,1.1407834370930965,185.15239,3.7682352,
2014-01-12,-1.7767637888590484,121.74074,10.856056,-0.9081212997436549,123.62742,11.225459,0.5007338205973283,117.80403,6.674692,
2014-01-13,-0.2762484868367507,106.575905,6.8467574,2.208770561218263,105.614944,7.0296383,2.404087829589852,87.1808,2.547191,
2014-01-14,0.3664218266805015,104.694405,4.585116,2.439316558837892,111.56072,12.039755,4.2631846745809,106.36915,12.169843,
2014-01-15,3.625658162434902,98.3884,12.608552,5.996140925089521,97.73299,10.608809,5.764258193969728,99.623,9.352923,
2014-01-16,3.4487464904785217,98.94311,7.3443723,4.492206064860031,174.02873,1.9210945,3.08309377034506,266.52206,3.564168,
2014-01-17,0.7229208628336578,125.415794,3.663398,4.720178731282556,113.603584,7.488786,5.304834810892751,112.690605,6.3876657,
2014-01-18,4.4562191645304425,108.637695,6.724834,7.723709487915042,105.909744,7.613506,7.900785319010402,109.17279,6.479286,
2014-01-19,5.619556236267095,101.27364,7.2491226,7.646906979878747,102.990204,3.7333899,7.826578013102196,99.34967,3.5221162,
2014-01-20,4.197579193115242,207.64285,2.2716627,5.856315104166669,165.2543,2.420969,5.311775334676116,35.236225,4.307699,
